Name,Price,Description,Warnings,Category 1,Category 2,Category 3,Language
Rub A535 No Odour Cream,26.0,Relieves muscle pain without the odour.,For external use only. Avoid contact with eyes and mucous membranes. Keep out of reach of children.,Pain & Fever,Muscle Pain,Cream/Ointment,English
Rub A535 Arthritis Gel,26.0,Provides relief from arthritis pain.,For external use only. Avoid contact with eyes and mucous membranes. Keep out of reach of children.,Pain & Fever,Joint Pain,Gel,English
Rub A535 Regular Strength Cream,26.0,Provides heating relief for muscle aches and pains.,For external use only. Avoid contact with eyes and mucous membranes. Keep out of reach of children.,Pain & Fever,Muscle Pain,Cream/Ointment,English
B.D Atoderm Sos Spray,46.75,"Soothes and relieves itchy, irritated skin.",For external use only. Avoid spraying near eyes or open flames. Keep out of reach of children.,Skin Care,Inflammation/Irritation,Spray,English
Eltroxin 50Mcg Tablets,20.0,Treats hypothyroidism by providing thyroid hormone replacement.,Take on an empty stomach. Consult your doctor for proper dosage and monitoring. Keep out of reach of children.,Vitamins & Supplements,Vitamins & Supplements,Tablets,English
Optidex T Sterile Ophthalmic Suspension,20.0,Treats eye inflammation and infections.,For ophthalmic use only. Do not touch the dropper tip to any surface. Consult your doctor if symptoms persist. Keep out of reach of children.,Eye Care,Infection/Inflammation,Ophthalmic Suspension,English
Candivast 150 Mg Capsule,20.5,Treats fungal infections.,"Consult your doctor before use, especially if you have liver or kidney problems. Keep out of reach of children.",Feminine & Sexual Health,Vaginal Infection,Capsules,English
Xemaderm 0.1% Cream,20.5,Reduces inflammation and itching associated with skin conditions.,For external use only. Do not use on broken skin. Consult your doctor if symptoms worsen. Keep out of reach of children.,Skin Care,Inflammation/Irritation,Cream/Ointment,English
Bactocine 2% Ointment,21.0,Treats bacterial skin infections.,For external use only. Avoid contact with eyes. Consult your doctor if symptoms persist. Keep out of reach of children.,Skin Care,Infections,Cream/Ointment,English
Supirocin Mupirocin Ointment,21.0,Treats bacterial skin infections.,For external use only. Avoid contact with eyes. Consult your doctor if symptoms persist. Keep out of reach of children.,Skin Care,Infections,Cream/Ointment,English
Neomercazole 5 Mg Tablets,21.0,Treats hyperthyroidism by reducing thyroid hormone production.,Take as directed by your doctor. Regular blood tests are required. Keep out of reach of children.,Vitamins & Supplements,Vitamins & Supplements,Tablets,English
Diprosone 0.05% Ointment,22.0,Reduces inflammation and itching in various skin conditions.,For external use only. Do not use on broken skin. Consult your doctor if symptoms worsen. Keep out of reach of children.,Skin Care,Inflammation/Irritation,Cream/Ointment,English
Diprosone Cream,22.0,Relieves inflammation and itching of the skin.,For external use only. Avoid contact with eyes. Consult a doctor if condition worsens.,Skin Care,Inflammation/Irritation,Cream/Ointment,English
Lidonstrum Gele,22.0,Provides local anesthetic relief from pain and discomfort.,For external use only. Avoid contact with eyes. Do not use on large areas of skin.,First Aid,Oral Care,Gel,English
Imavir Cream,24.5,Treats viral skin infections.,For external use only. Apply as directed by your doctor.,Skin Care,Infections,Cream/Ointment,English
Diprosalic Ointment,24.5,Reduces inflammation and removes scales in skin conditions.,For external use only. Avoid contact with eyes. Use with caution on damaged skin.,Skin Care,Inflammation/Irritation,Ointment,English
Finallerg Tablets,25.0,"Relieves allergy symptoms such as sneezing, runny nose, and itchy eyes.",May cause drowsiness. Do not exceed recommended dose.,Allergies & Sinus,Hay Fever (Allergic Rhinitis),Tablets,English
Zovirax Cream,25.0,Treats cold sores and other herpes simplex virus infections.,For external use only. Apply at the first sign of infection.,Skin Care,Infections,Cream/Ointment,English
Elicasal Ointment,25.5,Reduces inflammation and removes scales in skin conditions like psoriasis and eczema.,For external use only. Avoid contact with eyes. Do not use on broken skin.,Skin Care,Inflammation/Irritation,Ointment,English
Devit-3 Injection,26.0,Vitamin D3 supplement to treat or prevent vitamin D deficiency.,Administered by a healthcare professional only. Monitor calcium levels.,Vitamins & Supplements,Vitamin D,Injection,English
Fixit Capsules,26.5,Treats fungal infections.,Take as directed by your doctor. May interact with other medications.,Skin Care,Infections,Capsules,English
Locoid Lipocream,28.0,Reduces inflammation and itching associated with skin conditions.,For external use only. Avoid contact with eyes. Do not use on broken skin.,Skin Care,Inflammation/Irritation,Cream/Ointment,English
Locoid Ointment,28.0,Reduces inflammation and itching associated with skin conditions.,For external use only. Avoid contact with eyes. Do not use on broken skin.,Skin Care,Inflammation/Irritation,Ointment,English
Locoid Scalp Lotion,28.0,Reduces inflammation and itching on the scalp.,For external use only. Avoid contact with eyes. Apply to the affected area of the scalp.,Skin Care,Inflammation/Irritation,Lotion,English
